ID,Series,Title,Type,Basic,Expert,Ultimate,Supreme
306,Final Fantasy XV,Home Sweet Home - Theme of EPISODE PROMPTO,FMS,9740047,9876173,0,-
307,Final Fantasy XV,The Dance of Silver and Crimson,BMS,9660958,9882960,0,0
308,Final Fantasy Mystic Quest,Hill of Destiny,BMS,9880150,9831683,0,0
309,Final Fantasy Mystic Quest,Battle 1,BMS,9686887,9808290,0,-
310,Final Fantasy Mystic Quest,Battle 2,BMS,9782090,9550567,0,0
311,Final Fantasy Mystic Quest,Doom Castle,FMS,9875758,9587260,0,0
312,Final Fantasy Mystic Quest,Battle 3,BMS,9827411,9712171,0,0
313,Final Fantasy Tactics,Opening,EMS,9887500,9468599,0,-
314,Final Fantasy Tactics,Prologue,FMS,9726519,9853462,0,-
315,Final Fantasy Tactics,Trisection,BMS,9646869,9279509,0,0
316,Final Fantasy Tactics,Apoplexy,BMS,9947507,9823727,0,0
317,Final Fantasy Tactics,Antipyretic,BMS,9875635,9666181,0,-
318,Final Fantasy Tactics,Precipitous Combat,BMS,9873479,9832781,0,0
319,Final Fantasy Tactics,Ovelia's Theme,FMS,9886305,9689655,0,-
320,Final Fantasy Tactics,Ultima's Transformation,BMS,9841849,9894481,0,0
321,Final Fantasy Crystal Chronicles Remastered Edition,Moonless Starry Night,EMS,9569620,9798995,0,-
322,Final Fantasy Crystal Chronicles Remastered Edition,Today Comes To Be Tomorrow,FMS,9906250,9910913,0,-
323,Final Fantasy Crystal Chronicles Remastered Edition,Promised Grace,FMS,9747126,9847007,0,-
324,Final Fantasy Crystal Chronicles Remastered Edition,Monster Ronde,BMS,9893519,9944954,0,0
325,Final Fantasy Crystal Chronicles Remastered Edition,Across the Divide,FMS,9769231,9674888,0,0
326,Final Fantasy Crystal Chronicles Remastered Edition,Woebegone Creature,BMS,9933078,9926905,0,0
327,Final Fantasy Crystal Chronicles Remastered Edition,"United, Heaven-Sent",BMS,9883721,9920471,0,-
328,Final Fantasy Crystal Chronicles: The Crystal Bearers,This Is the End for You!,BMS,9796578,9881310,0,0
329,Dissidia Final Fantasy,DISSIDIA FINAL FANTASY [FINAL TRAILER],BMS,9849711,9868946,0,-
330,Dissidia Final Fantasy,Keeping the Peace from DISSIDIA FINAL FANTASY,FMS,9610778,9795045,0,-
331,Dissidia Final Fantasy,The Decisive Battle - arrange - from FFVI,BMS,9530086,9736031,0,-
332,Dissidia Final Fantasy,Battle 1 - arrange - from FFIX,BMS,9892754,9705082,0,-
333,Dissidia Final Fantasy,The Troops' Advance,BMS,9818942,9749269,0,-
334,Dissidia Final Fantasy,DISSIDIA - ending - from DISSIDIA FINAL FANTASY,BMS,9844622,9890026,0,-
335,Dissidia 012[duodecim] Final Fantasy,Lux Concordiae,EMS,9556452,9602339,0,-
336,Dissidia 012[duodecim] Final Fantasy,DISSIDIA 012[duodecim] FINAL FANTASY [FINAL TRAILER],BMS,9841346,9861862,0,-
337,Dissidia 012[duodecim] Final Fantasy,Canto Mortis -An Undocumented Battle-,FMS,9730061,9858427,0,-
338,Dissidia 012[duodecim] Final Fantasy,Gate to the Rift,FMS,9618449,9912711,0,-
339,Dissidia 012[duodecim] Final Fantasy,Cantata Mortis,BMS,9815249,9939516,0,-
340,Dissidia Final Fantasy -Arcade-,"""The Rebel Army"" from FINAL FANTASY II (Arrangement)",BMS,9821340,9658520,0,0
341,Dissidia Final Fantasy -Arcade-,"""Eternal Wind"" from FINAL FANTASY III (DFF Arrangement)",BMS,9827964,9764238,0,-
342,Dissidia Final Fantasy -Arcade-,"""Dancing Mad"" from FINAL FANTASY VI (Arrangement)",BMS,9857550,9622496,0,0
343,Dissidia Final Fantasy -Arcade-,"""Ominous Prognisticks"" from FINAL FANTASY XIV (Arrangement)",BMS,9822171,9648739,0,-
344,Dissidia Final Fantasy -Arcade-,"""Antipyretic"" from FINAL FANTASY TACTICS (Arrangement)",BMS,9689956,9799479,0,0
345,Dissidia Final Fantasy -Arcade-,"""The Beginning of the End"" from FINAL FANTASY TYPE-0 (Arrangement)",BMS,9779279,9691221,0,-
